dataset	split	embedding_model	condition_label	condition	candidate_top_n	beta	samples	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9	avg_recall	avg_violation	avg_recall_delta	avg_violation_delta	strict_recall_kept_all_k	avg_recall_kept	violation_lower_all_k	avg_violation_lower	mean_answer_rank	mean_trap_rank	recall_delta@3	violation_delta@3	recall_delta@5	violation_delta@5	recall_delta@7	violation_delta@7	recall_delta@9	violation_delta@9
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.2	3452	0.9223638470451913	0.9377172653534184	0.9426419466975666	0.947276940903824	0.5982039397450754	0.675260718424102	0.7175550405561993	0.7456546929316339	0.9375	0.6841685979142527	0.000941483198146	-0.1945973348783313	False	True	True	True	52.63035921205098	259.03650057937426	0.0057937427578215	-0.2268250289687137	0.0	-0.2036500579374276	-0.0020278099652375	-0.1816338354577056	0.0	-0.1662804171494785
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.21	3452	0.9223638470451913	0.9380069524913094	0.9426419466975666	0.9469872537659328	0.5866164542294322	0.6607763615295481	0.7024913093858632	0.7317497103128621	0.9375	0.6704084588644265	0.000941483198146	-0.2083574739281575	False	True	True	True	52.834009269988414	274.8479142526072	0.0057937427578215	-0.2384125144843568	0.0002896871378911	-0.2181344148319814	-0.0020278099652375	-0.1966975666280417	-0.000289687137891	-0.1801853997682503
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.22	3452	0.9229432213209734	0.9380069524913094	0.9426419466975666	0.9464078794901506	0.5712630359212051	0.6520857473928158	0.6903244495944381	0.7184241019698725	0.9375	0.6580243337195828	0.000941483198146	-0.2207415990730011	False	True	True	True	53.06662804171495	292.632966396292	0.0063731170336037	-0.2537659327925839	0.0002896871378911	-0.2268250289687138	-0.0020278099652375	-0.2088644264194669	-0.0008690614136732	-0.1935110081112399
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.23	3452	0.9238122827346466	0.9377172653534184	0.9423522595596756	0.9461181923522596	0.5599652375434531	0.6402085747392816	0.6772885283893395	0.7042294322132098	0.9375	0.645422943221321	0.000941483198146	-0.2333429895712629	False	True	True	True	53.34067207415991	312.5660486674392	0.0072421784472769	-0.265063731170336	0.0	-0.2387022016222479	-0.0023174971031286	-0.2219003476245654	-0.0011587485515642	-0.2077056778679026
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.24	3452	0.9241019698725376	0.9374275782155272	0.9420625724217844	0.9464078794901506	0.5454808806488992	0.6300695249130939	0.6630938586326767	0.6949594438006953	0.9375	0.6334009269988413	0.000941483198146	-0.2453650057937426	False	True	True	True	53.70828505214369	335.11210892236386	0.007531865585168	-0.2795480880648898	-0.000289687137891	-0.2488412514484357	-0.0026071842410196	-0.2360950173812283	-0.0008690614136732	-0.2169756662804171
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.25	3452	0.9238122827346466	0.937137891077636	0.9417728852838934	0.9458285052143685	0.5321552723059096	0.6173232908458864	0.6526651216685979	0.6796060254924682	0.9371378910776362	0.6204374275782155	0.0005793742757822	-0.2583285052143684	False	True	True	True	54.09907300115875	360.5243337195829	0.0072421784472769	-0.2928736964078794	-0.0005793742757821	-0.2615874855156431	-0.0028968713789108	-0.246523754345307	-0.0014484356894554	-0.2323290845886442
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.26	3452	0.9232329084588644	0.936558516801854	0.9411935110081112	0.9455388180764774	0.5196987253765932	0.5982039397450754	0.6387601390498262	0.6662804171494786	0.9366309385863268	0.6057358053302433	7.242178447275371e-05	-0.2730301274623407	False	True	True	True	54.58951332560834	389.3661645422943	0.0066628041714947	-0.3053302433371958	-0.0011587485515642	-0.2807068366164542	-0.0034762456546929	-0.2604287369640787	-0.0017381228273464	-0.2456546929316337
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.27	3452	0.9232329084588644	0.9368482039397452	0.9411935110081112	0.9458285052143685	0.5040556199304751	0.5845886442641947	0.6248551564310545	0.6526651216685979	0.9367757821552722	0.5915411355735805	0.0002172653534182	-0.2872247972190035	False	True	True	True	55.156720741599074	421.8539976825029	0.0066628041714947	-0.3209733487833139	-0.0008690614136731	-0.2943221320973349	-0.0034762456546929	-0.2743337195828504	-0.0014484356894554	-0.2592699884125145
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.28	3452	0.9238122827346466	0.936558516801854	0.9409038238702202	0.9461181923522596	0.4892815758980301	0.5701042873696408	0.6126882966396292	0.6442641946697567	0.9368482039397452	0.5790845886442642	0.0002896871378911	-0.2996813441483198	False	True	True	True	55.815179606025495	458.6723638470452	0.0072421784472769	-0.3357473928157589	-0.0011587485515642	-0.3088064889918888	-0.0037659327925839	-0.2865005793742757	-0.0011587485515642	-0.2676709154113557
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.29	3452	0.9235225955967556	0.936558516801854	0.9409038238702202	0.9458285052143685	0.4788528389339513	0.5567786790266512	0.5987833140208575	0.6283314020857474	0.9367033603707996	0.5656865585168019	0.0001448435689455	-0.313079374275782	False	True	True	True	56.587195828505216	500.2798377752028	0.0069524913093859	-0.3461761297798377	-0.0011587485515642	-0.3221320973348783	-0.0037659327925839	-0.3004055619930474	-0.0014484356894554	-0.2836037079953649
