embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.75	0.75	1	0.18875	0.05425	0.1345	0.712583	0.925	0.87425	-0.05075	0.901	0.83	0.085	0.038	0.939	0.905	0.279	0.068
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.75	0.3	0.5	0.511	0.37725	0.13375	0.261742	0.9425	0.937	-0.0055	0.932	0.929	0.456	0.326	0.951	0.946	0.554	0.42
text-embedding-3-small	baseline - q_trap	all	1	0.2	0.3	0.70025	0.567	0.13325	0.190289	0.94525	0.945	-0.00025	0.931	0.933	0.617	0.492	0.953	0.951	0.756	0.625
text-embedding-3-small	baseline - q_trap	10	1	0.5	0.75	0.66675	0.5355	0.13125	0.19685	0.94475	0.9425	-0.00225	0.928	0.925	0.562	0.393	0.957	0.957	0.771	0.692
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	2	0.5	0.75	0.4965	0.3655	0.131	0.263847	0.942	0.9385	-0.0035	0.932	0.932	0.445	0.308	0.951	0.946	0.539	0.409
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	2	0.75	1	0.3655	0.23525	0.13025	0.356361	0.9385	0.93325	-0.00525	0.932	0.925	0.308	0.189	0.946	0.941	0.409	0.273
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.75	0.75	1	0.17875	0.04875	0.13	0.727273	0.9195	0.8685	-0.051	0.892	0.831	0.075	0.03	0.939	0.898	0.267	0.069
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.75	0.3	0.5	0.517	0.391	0.126	0.243714	0.942	0.93925	-0.00275	0.93	0.928	0.451	0.329	0.953	0.948	0.562	0.44
text-embedding-3-small	baseline - q_trap	all	2	0.3	0.5	0.759	0.63475	0.12425	0.163702	0.947	0.94625	-0.00075	0.932	0.933	0.687	0.552	0.956	0.953	0.812	0.694
text-embedding-3-small	baseline - q_trap	20	1	0.3	0.5	0.7535	0.63	0.1235	0.163902	0.9455	0.94325	-0.00225	0.93	0.929	0.672	0.55	0.955	0.952	0.806	0.681
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.5	0.1	0.2	0.63275	0.511	0.12175	0.192414	0.94525	0.9425	-0.00275	0.936	0.932	0.571	0.456	0.953	0.951	0.68	0.554
text-embedding-3-small	baseline - q_trap	20	0.5	0.1	0.2	0.809	0.68775	0.12125	0.149876	0.9465	0.94475	-0.00175	0.932	0.931	0.735	0.614	0.956	0.954	0.86	0.744
text-embedding-3-small	baseline - q_trap	20	0.5	0.2	0.3	0.68775	0.5675	0.12025	0.174846	0.94475	0.9415	-0.00325	0.931	0.926	0.614	0.477	0.954	0.95	0.744	0.641
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	1	0.5	0.75	0.46	0.341	0.119	0.258696	0.94	0.93525	-0.00475	0.93	0.928	0.412	0.287	0.948	0.942	0.498	0.385
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	1	0.75	1	0.4085	0.29175	0.11675	0.285802	0.939	0.933	-0.006	0.924	0.904	0.315	0.136	0.951	0.95	0.513	0.435
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.75	0.3	0.5	0.5365	0.41975	0.11675	0.217614	0.9435	0.9395	-0.004	0.933	0.929	0.458	0.344	0.952	0.951	0.62	0.519
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	1	0.5	0.75	0.46775	0.35175	0.116	0.247996	0.94125	0.938	-0.00325	0.93	0.926	0.405	0.292	0.95	0.946	0.516	0.403
